,word,total_count,СМГ Зима,СМГ Мессояха,СМГ Н.Порт,Томский интегрированный проект
1176,% вып.,1810,2,1528,274,6
2198,Погружение свай,2574,9,236,272,2057
1433,Руководитель,354,1,82,271,0
1075,Стропальщики,1580,3,116,270,1191
526,11.3,1015,28,65,268,654
410,9.4,1084,10,72,268,734
521,12.1,1653,28,72,267,1286
293,2.9,1117,15,35,265,802
1153,Откл.,1792,2,1528,262,0
6260,16,1585,0,343,259,983
297529,"% выполнения 
на текущую дату с начала месяца",258,0,0,258,0
309542,"ООО ""Газпромнефть-Ямал""",257,0,0,257,0
1734,4.9,403,1,13,256,133
441,8.4,980,26,70,256,628
1022,13.2,1330,27,48,256,999
444,8.5,922,26,68,255,573
4962,Водовозка,466,0,211,255,0
1781,4.10,327,1,10,254,62
436,3.9,961,6,19,253,683
4340,15,2168,0,349,251,1568
1414,Людские ресурсы,1536,1,1284,250,1
525,12.2,1228,28,42,248,910
467,км,2523,4,127,247,2145
1150,Данные по физ. объемам  ,1414,5,1162,247,0
1723,4.11,311,1,9,245,56
314,5.6,528,28,18,245,237
297713,"Примечание: ресурсы указаны ориентировочно и могут меняться в зависимости от условий выполнения работ (погода, рельеф, сроки, объемы и т.д.)",244,0,0,244,0
661,13.3,1033,27,36,242,728
291,7.6,567,25,15,242,285
355,6.5,577,26,67,241,243
535,10.4,974,25,68,239,642
579,14.1,1580,27,73,238,1242
986,7.7,433,23,13,236,161
654,16.1,1287,26,68,236,957
299130,Начальник штаба строительства,234,0,0,234,0
578,2.10,740,11,31,233,465
10236,Автогрейдер,885,0,623,231,31
303520,Удельные трудозатраты,231,0,0,231,0
511,11.4,837,24,60,229,524
4383,14,2285,0,362,228,1695
360,9.5,710,9,65,227,409
6848,Самосвал,2198,0,1149,227,822
527,12.3,963,28,25,223,687
1021,15.1,1467,26,74,222,1145
9802,Каток,1973,0,1041,221,711
83,-,1175,20,785,221,149
11,От Подрядчика:,232,11,0,221,0
298787,Главный инженер - первый заместитель генерального директора,220,0,0,220,0
1423,ПРИМЕЧАНИЕ:,224,2,4,218,0
677,3.10,911,4,18,218,671
1161,Ед.изм,619,3,47,217,352
1359,м.,1109,4,486,217,402
518,8.6,453,24,16,217,196
722,14.2,1367,27,38,216,1086
517,5.7,293,24,15,214,40
1066,7.8,262,3,9,214,36
4870,ППУ,385,0,171,214,0
143932,Актированный день,218,0,5,213,0
553,10.5,864,25,60,212,567
290396,час,212,0,0,212,0
5531,17,1355,0,312,211,832
4900,Электромонтажник,3077,0,1040,209,1828
290503,Рабочий день,207,0,0,207,0
1081,14.3,888,27,31,206,624
349,3.11,894,4,14,205,671
634,12.4,768,27,17,204,520
541,6.7,315,21,13,203,78
600,Покрасочный аппарат,234,3,28,203,0
8201,С начала строительства нарастающим итогом,246,0,43,203,0
433,9.6,557,9,13,201,334
295,6.6,431,26,13,201,191
64664,4.12,215,0,9,201,5
6445,Монтаж металлоконструкций,2225,0,1187,201,837
910,15.2,1088,26,47,200,815
881,Дизелист,246,2,44,200,0
5927,18,1178,0,302,200,676
334,1.12,1252,18,187,200,847
1215,13.4,825,23,40,200,562
7029,Пескоструйный аппарат,840,0,640,200,0
1434,Разнорабочие,581,1,60,200,320
510,8.7,363,24,14,199,126
1033,12.5,647,27,13,199,408
29277,ПНР,4143,0,742,198,3203
1118,Люди всего:,204,1,7,196,0
1131,Техника всего:,205,2,7,196,0
6979,ДЭС SDMO-D350,214,0,19,195,0
1135,За прошедшие сутки,220,3,24,193,0
542,11.5,677,22,58,193,404
624,16.2,938,26,47,193,672
4524,19,1178,0,297,193,688
135,к-с,723,39,182,192,310
1094,Геодезист,3427,2,1075,191,2159
2512,1.Перевахтовка ХХ.ХХ.ХХ.-нерабочий день,192,1,0,191,0
1167,Автокран,3218,3,1304,189,1722
752,5.8,240,5,10,188,37
4473,20,1047,0,289,188,570
298796,"ООО ""Газпром нефть Новый Порт""",188,0,0,188,0
972,ДЭС SDMO-D110,208,2,19,187,0
775,12.6,441,26,6,186,223
790,17.1,1069,27,69,186,787
2074,Монтаж оголовков,915,1,728,186,0
6999,Осветительная мачта LTN 6L,211,0,26,185,0
622,7.9,196,3,9,184,0
326,2.11,673,12,28,182,451
18,Начальник участка,2124,10,90,182,1842
825,Изолировщики,643,2,51,181,409
358,3.12,864,2,10,181,671
549,11.6,615,22,8,181,404
1417,Вахтовый автомобиль,215,1,34,180,0
557,10.6,394,25,11,180,178
7351,Сварочный аппарат  2хпост,190,0,11,179,0
7363,Сварочный аппарат  1пост,190,0,11,179,0
590,Жилой вагон,282,3,101,178,0
868,16.3,515,26,36,178,275
7493,АБС (миксер),187,0,10,177,0
443,1.13,1216,15,188,177,836
552,9.7,380,3,12,175,190
12,Ожидаемое начало,232,57,0,175,0
4182,Изготовление свай,2130,0,128,173,1829
1196,13.5,603,22,23,172,386
306180,РН по календарному планированию,171,0,0,171,0
1175,Трубоукладчик,1475,2,1121,170,182
69,Ожидаемое окончание,226,57,0,169,0
2273,Август,1401,23,55,168,1155
6991,КМУ (манипулятор),194,0,26,168,0
4459,Выполнено с начала месяца,234,0,66,168,0
2678,к-т,873,8,120,167,578
6459,по состоянию на,1321,0,1154,167,0
683,15.3,902,25,32,167,678
345,2.12,645,11,18,166,450
558,18.1,1064,27,61,166,810
635,19.1,1031,26,62,165,778
512,11.7,545,22,5,165,353
6460,25,846,0,215,165,466
6226,26,692,0,204,163,325
43285,СВОД,198,0,36,162,0
64681,4.13,178,0,9,162,7
698,8.8,239,3,10,161,65
887,12.7,415,25,6,161,223
935,7.10,173,3,9,161,0
4877,Автобетоносмеситель,380,0,220,160,0
7043,"Автокран ""Liebher LTM 1100-4.2""",186,0,26,160,0
147789,6.8,233,0,9,160,64
7054,Фронтальный погрузчик XCMG LW300F,184,0,26,158,0
4593,30,631,0,173,158,300
1070,5.9,199,2,7,158,32
963,15.4,566,26,30,158,352
3531,Начало,4787,5,233,157,4392
7026,"Автокран ""Grove GMK 4100L""",183,0,26,157,0
1002,19.2,885,26,45,155,659
551,10.7,366,23,10,155,178
61794,3.13,736,0,8,154,574
1229,14.5,538,21,18,154,345
6200,23,879,0,235,154,490
4155,28,674,0,211,154,309
860,8.9,229,3,9,153,64
293919,<=,153,0,0,153,0
6219,22,980,0,252,153,575
4659,21,1027,0,270,151,606
302833, ____________________А.В. Столяров,151,0,0,151,0
1217,14.4,599,22,20,151,406
1138,Монтажник,2904,2,891,151,1860
809,18.2,694,27,35,150,482
5436,план ,1207,0,1057,150,0
6808,Буровая установка,233,0,83,150,0
748,17.2,810,27,47,149,587
620,Газорезчики,969,3,103,149,714
57867,Топливозаправщик,1132,0,29,148,955
3616,Окончание,4788,5,243,148,4392
1728,1.14,1145,10,156,147,832
4549,24,846,0,234,146,466
1231,13.6,386,22,15,145,204
1368,2.13,610,5,16,145,444
4979,Монтаж опор,3369,0,809,144,2416
291198,"План/
факт",144,0,0,144,0
1187,по состоянию на 2000,219,3,72,144,0
3412,9.8,340,1,6,143,190
795,17.3,648,26,28,143,451
6919,ПРМ,237,0,94,143,0
4019,Монтажники,1409,4,103,142,1160
687,12.8,154,4,4,142,4
290519,Ед.    изм.,141,0,0,141,0
4315,27,588,0,202,141,245
64728,3.14,277,0,6,141,130
64581,4.14,157,0,9,141,7
7496,АТЗ,209,0,66,140,3
916,Монтажники стальных и ж/б конструкций,173,2,32,139,0
832,20.1,949,26,52,138,733
6112,ДЭС-100,142,0,6,136,0
696,16.4,213,26,28,136,23
252105,5.10,171,0,4,135,32
147766,6.9,143,0,9,134,0
2531,Вахтовка,346,1,76,133,136
310251,"ООО ""Газпромнефть Ямал""",133,0,0,133,0
1680,Монтаж оборудования,2902,11,943,132,1816
42163,ПЛАН,348,0,216,132,0
42878,ФАКТ,381,0,245,132,4
149,ст,1393,13,920,132,328
252147,5.11,135,0,3,132,0
636,18.3,572,26,18,131,397
781,15.5,343,26,25,131,161
959,17.4,522,25,19,130,348
64354,План на месяц,1728,0,9,130,1589
725,20.2,712,26,40,129,517
5891,32,564,0,151,128,285
3516,9.9,133,1,4,128,0
4422,ВСЕГО,774,0,327,128,319
3813,11.8,316,1,3,127,185
298127,А.В. Столяров,126,0,0,126,0
1177,За неделю с понедельника по воскресенье,129,3,0,126,0
4310,тн.,704,0,164,126,414
1205,14.6,369,21,10,125,213
4485,31,451,0,163,125,163
1771,1.15,1078,10,151,125,792
666,12.9,135,4,4,124,3
64706,4.15,132,0,9,123,0
1772,1.16,1062,10,137,123,792
3337,7.11,132,1,8,123,0
299024,Генподрядная организация,123,0,0,123,0
169,Подготовительные работы,2022,36,103,122,1761
1197,13.7,291,22,9,122,138
5920,33,531,0,146,121,264
64125,ед,124,0,4,120,0
1015,Сваебой СП-49,234,3,111,120,0
301596,Столяров А.В.,120,0,0,120,0
5725,Монтаж греющего кабеля,763,0,213,120,430
147711,6.10,129,0,9,120,0
1017,19.3,545,26,38,120,361
293748,"ед.
изм",119,0,0,119,0
64548,4.16,127,0,8,119,0
299033,Девятьяров С.С.__________________,119,0,0,119,0
1230,15.6,170,21,12,119,18
1107,Машинист экскаватора,2916,2,31,119,2764
890,16.6,158,26,13,119,0
293753,"дни
м-ца",119,0,0,119,0
4561,36,452,0,140,119,193
1095,Водитель,1350,2,116,118,1114
659,16.5,175,26,22,118,9
869,26.1,493,12,18,118,345
4694,40,320,0,134,117,69
252154,5.12,120,0,3,117,0
933,21.1,904,27,46,117,714
389,т,2533,17,663,116,1737
6586,кт,1059,0,943,116,0
4044,Бетонщики,198,3,48,116,31
834,25.1,697,12,19,116,550
703,28.2,434,12,11,115,296
728,17.5,337,25,17,115,180
1080,22.1,874,24,44,115,691
485,ст.,260,6,133,115,6
875,23.1,766,13,32,115,606
299057,Центральный пункт сбора нефти (ЦПС). 2 этап,114,0,0,114,0
824,27.1,390,12,19,114,245
798,26.2,403,12,12,114,265
301578,Кожевников К.Н.,114,0,0,114,0
697,28.1,454,12,19,114,309
64597,3.15,250,0,6,114,130
301494,"Самосвал УРАЛ (55571-30, 583100)",114,0,0,114,0
4737,29,626,0,174,114,338
147777,6.11,121,0,8,113,0
242151,6.12,120,0,7,113,0
7059,ППУА-1600/100м,139,0,26,113,0
299128,°С,112,0,0,112,0
59874,Монтаж трубопроводов,2216,0,1164,112,940
841,16.7,151,25,14,112,0
3435,11.9,295,1,2,112,180
301454,ДЭС от 30  до 60 кВт,111,0,0,111,0
894,22.2,649,24,29,110,486
516,Монтаж ростверков,962,21,79,110,752
902,26.3,293,12,7,110,164
4580,34,492,0,176,110,206
4528,1.1.1,3717,0,288,110,3319
263298,Испытание свай,119,0,10,109,0
814,8.10,185,3,9,109,64
665,24.1,718,13,30,109,566
4336,50,223,0,113,109,1
9,Начальник УКС,1321,32,1180,109,0
188163,Бортовой автомобиль,1068,0,959,109,0
1235,14.7,217,21,9,108,79
229915,Монтаж м/к основания,110,0,2,108,0
893,21.2,691,27,34,108,522
662,19.4,365,23,35,107,200
1814,1.17,1046,13,136,107,790
1228,15.7,152,21,12,107,12
6252,44,213,0,106,107,0
1223,18.5,369,21,7,107,234
45192,Монтаж лотков,183,0,58,106,19
2454,26.4,261,8,3,106,144
64574,3.16,107,0,2,105,0
920,33.1,263,6,10,105,142
637,Автокран  25 тн,135,2,28,105,0
46868,Благоустройство,1618,0,142,105,1371
1911,м.п.,1652,15,133,105,1399
5966,38,428,0,130,105,193
888,33.2,257,5,6,104,142
4714,1.1.2,2936,0,203,104,2629
309207,% выполнения текущего плана,104,0,0,104,0
2489,23.2,589,9,22,103,455
4673,Электромонтажники,503,0,187,103,213
62595,Автосамосвал,765,0,12,103,650
301465,Водовозка УРАЛ (4320 46151-01),103,0,0,103,0
585,27.2,360,12,11,103,234
574,30.2,413,7,5,103,298
1760,2.14,122,3,16,103,0
290485,"Причины отставания, 
краткие мероприятия",103,0,0,103,0
708,22.3,520,23,23,103,371
597,29.2,427,8,8,102,309
879,29.1,434,8,15,102,309
568,30.1,422,8,14,102,298
6190,ДЭС,410,0,308,102,0
1128,Стропальщик,3463,2,1219,102,2140
737,20.3,538,26,20,102,390
6003,42,223,0,119,102,2
1203,18.4,468,21,12,101,334
4621,1.4.1,2197,0,208,101,1888
302936,______________________Романенко А.А.,101,0,0,101,0
110,"% выполнения 
от плана на текущую дату с начала строительства",1471,58,1312,101,0
689,17.6,246,25,10,101,110
5897,60,199,0,98,101,0
2305,Сентябрь,1346,29,58,101,1158
6761,Утверждаю:,102,0,1,101,0
581,27.3,326,12,8,100,206
58125,Миксер,171,0,71,100,0
4793,1.1.3,2367,0,146,100,2121
309208,План компенсирующих мероприятий,99,0,0,99,0
309212,Причина отставания,99,0,0,99,0
310492,"ООО ""Газпром нефть Ямал""",99,0,0,99,0
810,25.2,391,11,9,98,273
5989,48,206,0,108,98,0
5783,41,222,0,122,98,2
896,29.3,420,8,5,98,309
1211,18.6,255,21,3,98,133
1061,28.3,410,12,4,98,296
252118,5.13,99,0,2,97,0
5802,39,397,0,126,97,174
1234,19.6,212,21,16,97,78
9657,Разработка котлована,176,0,26,97,53
291652,Июнь 2014,97,0,0,97,0
10048,Устройство свайного основания,321,0,111,97,113
1193,Газорезчик,1986,2,356,97,1531
9347,Монтаж запорной арматуры,347,0,251,96,0
4544,1.4.2,1916,0,142,96,1678
4239,37,426,0,137,96,193
310255,Главный специалист капитального строительства,96,0,0,96,0
706,32.2,388,6,2,95,285
4356,35,444,0,143,95,206
6075,46,207,0,112,95,0
304357,Киричек В.В.,95,0,0,95,0
9789,Вид работ,1037,0,96,95,846
891,21.3,544,26,26,95,397
739,24.2,670,13,24,95,538
4439,58,188,0,93,95,0
68,Идентификатор GUID ,1337,58,1185,94,0
97,T емп. Воздуха,151,57,0,94,0
657,25.3,251,11,10,94,136
1029,32.1,395,6,10,94,285
7748,Монтаж ростверка,657,0,78,94,485
303062, ____________________А.А. Жибер,93,0,0,93,0
4935,Погрузчик,1127,0,1034,93,0
1778,2.15,107,3,11,93,0
69639,Устройство тротуаров,109,0,16,93,0
291215,Объём всего,93,0,0,93,0
1214,17.7,228,21,8,93,106
4779,45,203,0,110,93,0
290473,% завершения всего,93,0,0,93,0
291019,% выполнения плана,93,0,0,93,0
1198,18.7,199,21,3,92,83
38307,Причины отставания,135,0,43,92,0
6080,57,186,0,94,92,0
6988,Самосвал-Урал,120,0,28,92,0
5658,стык,739,0,14,92,633
189405,факт ,98,0,6,92,0
1043,30.3,399,7,2,92,298
2416,23.3,473,9,16,92,356
817,25.5,210,11,6,91,102
4167,0,919,0,58,91,770
37241,Spreadsheet Field,1012,0,75,91,846
827,33.3,365,5,5,91,264
71721,50.1,96,0,5,91,0
292459,Монтаж электрических сетей,91,0,0,91,0
290741,С начала строительства с накоплением,91,0,0,91,0
858,20.4,499,26,17,91,365
1919,13.8,238,2,7,91,138
917,21.4,488,26,20,91,351
273,дата,115,2,23,90,0
242157,6.13,97,0,7,90,0
5862,61,184,0,94,90,0
2480,26.5,183,8,2,90,83
6539,53,187,0,97,90,0
6537,49,193,0,103,90,0
2529,Водители,287,1,31,90,165
67880,ДЭС 100,91,0,1,90,0
38,"% выполнения 
от объема по проекту  на текущую дату с начала строительства",148,58,0,90,0
2494,Октябрь,1100,11,42,90,957
964,27.6,181,12,2,89,78
1062,27.5,181,12,2,89,78
297433,Идентификатор GRID ,89,0,0,89,0
2455,26.6,165,8,2,88,67
556,Монтаж заземления,1122,22,195,88,817
3011,9.10,93,1,4,88,0
2031,Монтаж балок,1182,1,57,88,1036
8051,Монтаж технологических трубопроводов,217,0,129,88,0
299025,"% выполнения 
на текущую дату с начала строительства",88,0,0,88,0
1207,19.7,121,21,13,87,0
759,19.5,332,23,22,87,200
3176,7.12,93,1,5,87,0
301048,С НАЧАЛА СТРОЙКИ,87,0,0,87,0
1067,24.3,532,13,15,87,417
301060,ЗАДАНИЕ,87,0,0,87,0
301485,Автобус (вахтовка) УРАЛ-32551-0010-41,87,0,0,87,0
2464,41.2,92,2,3,87,0
2496,Ноябрь,1149,6,35,87,1021
2363,41.1,98,2,7,87,2
960,25.4,242,11,11,87,133
813,31.1,266,6,10,87,163
250251,кс,88,0,2,86,0
583,25.6,203,11,4,86,102
853,36.1,297,6,12,86,193
297655,"Водители а/с и спецтехники (вахтовки, т/з и др.)",86,0,0,86,0
66407,Факт за сутки,88,0,2,86,0
4429,1.4.3,1491,0,98,86,1307
947,37.1,295,6,10,86,193
780,31.2,236,5,3,86,142
5596,51,197,0,111,86,0
306169,Гайдабура К.Ю.,86,0,0,86,0
3289,10.8,186,1,2,86,97
301401,"% выполнения 
с начала строительства",85,0,0,85,0
71465,53.1,89,0,4,85,0
3845,11.10,264,1,1,85,177
3795,17.8,102,1,7,85,9
3623,25.8,88,1,2,85,0
57727,Механик,1386,0,80,85,1221
1031,21.5,453,26,6,85,336
43820,Генподрядная организация:,1258,0,1173,85,0
1047,32.3,377,6,1,85,285
771,22.4,298,3,14,85,196
7002,Сварочный дизель-генератор,110,0,26,84,0
297688,Итого актированных часов: ,84,0,0,84,0
700,35.1,307,6,11,84,206
5774,47,231,0,104,84,43
291021,"ООО ""КМС""",84,0,0,84,0
872,35.2,158,6,5,84,63
3333,48.1,92,1,7,84,0
1882,1.18,997,10,132,84,771
6391,2.1.1,2903,0,76,84,2743
60296,Ограждение,1336,0,63,83,1190
3807,49.3,87,1,3,83,0
3387,45.2,87,1,3,83,0
60,Март,1567,34,43,83,1407
906,34.1,304,6,9,83,206
3679,26.8,85,1,1,83,0
3558,39.2,96,1,10,83,2
712,март,770,2,20,83,665
2460,28.4,268,8,3,83,174
4763,Ед.,179,0,96,83,0
71197,51.1,92,0,9,83,0
2896,Декабрь,1401,18,57,83,1243
3161,49.2,88,1,4,83,0
978,34.2,125,5,3,83,34
232935,63.4,83,0,1,82,0
6007,4.1.1,2917,0,70,82,2765
3830,26.7,155,7,2,82,64
186231,Сварочный пост,1138,0,1,82,1055
11208,19.9,89,0,7,82,0
11137,19.8,90,0,8,82,0
2389,41.3,88,2,4,82,0
294562,Выполнено до текущего месяца,82,0,0,82,0
3472,7.13,88,1,5,82,0
6195,4.1.2,2432,0,60,82,2290
4965,Всего по проекту,372,0,290,82,0
290870,Июль 2014,82,0,0,82,0
1769,2.16,96,3,11,82,0
2392,28.5,256,8,3,82,163
800,30.4,388,7,1,82,298
60844,блок,176,0,1,81,94
4294,1.1.4,2018,0,107,81,1830
71570,50.2,84,0,3,81,0
2374,39.1,265,2,8,81,174
64632,4.17,86,0,5,81,0
5929,2.1.2,2218,0,61,81,2076
559,21.6,337,25,4,81,227
43258,2.2.1,2764,0,42,81,2641
2376,38.1,284,2,8,81,193
3186,38.2,107,1,4,81,21
71251,50.3,83,0,2,81,0
309978,"ООО ""Газпромнефть - Ямал""",81,0,0,81,0
4782,1.2.2,2891,0,177,81,2633
3091,49.1,87,1,5,81,0
3372,45.3,85,1,3,81,0
6527,52,184,0,104,80,0
308033,16.11.2015,80,0,0,80,0
43288,2.3.1,2033,0,25,80,1928
306477,19.10.2015,80,0,0,80,0
255276,12.10,84,0,4,80,0
315980,Мероприятия по устранению отставания от МСГ:,80,0,0,80,0
315977,Причины отставания от МСГ на текущую дату:,80,0,0,80,0
1037,27.9,98,4,0,80,14
3299,апрель,645,1,48,80,516
1105,Разнорабочий,2691,2,1038,80,1571
778,27.7,107,12,1,80,14
43269,2.3.2,1782,0,21,80,1681
3794,49.5,81,1,0,80,0
297717,К-702,80,0,0,80,0
3559,31.4,115,1,2,80,32
308037,"Месячно-суточный график выполнения работ по объектам: 
 «Центральный пункт сбора нефти (ЦПС). 2 этап»",80,0,0,80,0
308100,14.12.2015,80,0,0,80,0
3560,49.4,81,1,0,80,0
64556,4.18,85,0,5,80,0
309210,Кустов А.С.,80,0,0,80,0
5592,43,198,0,118,80,0
56,1.1.,267,55,53,80,79
628,36.3,138,6,3,79,50
1000,31.3,159,5,3,79,72
2390,41.4,81,2,0,79,0
3046,38.3,99,1,0,79,19
2423,40.2,85,2,4,79,0
252121,5.14,81,0,2,79,0
2437,40.1,124,2,12,79,31
3220,14.8,164,1,5,79,79
291942,Монтаж силовых электрических линий,79,0,0,79,0
304403,К.Н. Кожевников,79,0,0,79,0
6554,72,154,0,75,79,0
6561,81,144,0,65,79,0
64382,Прораб,2189,0,2,79,2108
6817,Монтаж термостабилизаторов,763,0,684,79,0
1878,1.19,1011,10,132,79,790
5743,67,159,0,80,79,0
2371,40.3,82,2,1,79,0
301028,С НАЧАЛА МЕСЯЦА,79,0,0,79,0
3113,25.7,90,7,4,79,0
2318,2.17,92,2,11,79,0
641,22.5,331,5,13,79,234
222747,НЕТ,80,0,1,79,0
1076,20.5,372,26,13,79,254
292505,50.5,79,0,0,79,0
5524,59,170,0,91,79,0
816,27.8,97,5,0,78,14
301463,Рабочие строительных специальностей,78,0,0,78,0
62399,30.11.2015,84,0,6,78,0
6563,73,143,0,65,78,0
308068,21.12.2015,78,0,0,78,0
3701,26.9,80,1,1,78,0
6958,"Прочие (уборщики, повара)",94,0,16,78,0
308034,07.12.2015,78,0,0,78,0
6076,4.1.3,1687,0,32,78,1577
232733,52.4,79,0,1,78,0
64403,26.10.2015,84,0,6,78,0
308053,02.11.2015,78,0,0,78,0
1225,3.1.1,3310,21,75,78,3136
71399,50.4,80,0,2,78,0
3562,33.4,213,1,4,78,130
308058,09.11.2015,78,0,0,78,0
3086,9.11,82,1,3,78,0
5551,62,226,0,88,78,60
56992,2.5.3,737,0,10,78,649
308077,23.11.2015,78,0,0,78,0
4594,54,181,0,103,78,0
2391,41.5,80,2,0,78,0
298776,от 06.10.2014 г.,78,0,0,78,0
1005,27.4,254,12,5,78,159
1199,20.6,205,21,9,78,97
5543,63,161,0,84,77,0
6573,83,128,0,51,77,0
6568,70,178,0,82,77,19
71723,58.1,81,0,4,77,0
2973,24.5,341,8,7,77,249
161693,1.,84,0,7,77,0
3835,49.6,78,1,0,77,0
70896,57.1,85,0,8,77,0
3313,10.9,177,1,2,77,97
569,36.2,137,6,5,76,50
576,37.2,90,6,3,76,5
70536,66.1,80,0,4,76,0
232391,58.2,78,0,2,76,0
233878,52.5,77,0,1,76,0
1227,3.2.1,2477,21,46,76,2334
