group,title
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 74)",29
Лист 22,29
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 7)",29
75.17.2-ТГП-(УГ2;ННБ)-Л Линейная часть,29
"Сети противопожарного водопровода В2, В2С (ТК2)",29
75.17.2-ТГП-(УГ5)-Л Линейная часть,28
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 28)",27
WBS: ОКС 853 - Куст-25.9.2.9.16 Строительные работы опор сетей инженерных,27
Монтаж ЗРА,27
КМ,27
Устройство проемов,27
Металлоконструкции (поз.АС2),26
Строительные работы опор сетей инженерных (Куст 37),26
"Т.5.1,5.3,5.4 Блок компрессорного агрегата низкого давления (КД)",26
"Т.4.1,4.3,4.4 Блок компрессорного агрегата низкого давления (ТХ)",26
Выкидные трубопроводы (Куст 27),26
"Сети противопожарного водопровода В2, В2С (ТК4)",26
АС/С129/Архитектурно строительные-решения,25
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 1БИС)",25
ПС,25
Лист 8,25
"Сети противопожарного водопровода В2, В2С (ТК3)",25
ЛТ. Сети газопровода. Линейный трубопровод (С202),25
ГСН. Сети наружного газопровода (от УРГ до ПСП) (С023),25
"Тепловые сети Т1, Т2 (ТК5)",25
Сети технологические (Куст 15),25
Устройство теплоизоляции,25
Монтаж оборудования (поз.11),24
Монтаж и приобретение приборов и средств автоматизации (Куст 70),24
Строительные работы опор сетей инженерных (Куст 7),24
Монтаж приборов и средств автоматизации,24
Устройство изоляции,24
Сети технологические (ТХ),24
Тит. С137 Инженерные сети (ТК),24
Монтаж оборудования ЭОМ,24
Выкидные трубопроводы (Куст 28),23
Металлоконструкции (поз.АС4),23
Система кабельных конструкций (ЭС),23
Лист 19,23
Монтаж колодцев (НК2),23
Монтаж кабеля ЭМиЭО,23
Лист 6,23
Устройство свайного основания (поз.АС3),23
ВЗ/поз.336/Внутриблочная досборка (КНС блочная БКНС-2),23
Лист 14,23
WBS: ОКС 866 - Куст-35.9.2.7.6 Строительные работы опор сетей инженерных,22
Т.31 Операторная (ЭОМ),22
Внутриплощадочные электрические сети (ЭС),22
Монтаж оборудования подстанции (поз.38),22
Выкидные трубопроводы (Куст 75),22
Строительные работы. Сети инженерные (Куст 47),22
Устройство свайного основания (поз.АС4),22
Лист 11,22
Водопровод хозяйственно-питьевой В1 (ТК3),22
Внутриплощадочные сети электрические (Куст 15),21
КС-48-АС (Архитектурно-строительные решения),21
Строительные работы электрической воздушной линии 10 кВ (Куст 37),21
Нефтегазопровод т.вр.к12-т.вр.к11 (лупинг),21
Сети технологические (Куст 29),21
Металлоконструкции (поз.АС1),21
АС/поз.338/Архитектурно-строительные решения,21
Монтаж кабеленесущих систем,21
"Строительные работы основания подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН",20
"Тепловые сети Т1, Т2 (ТК4)",20
Монтаж и приобретение приборов и средств автоматизации (Куст 138),20
Строительные работы электрической воздушной линии 10 кВ (Куст 26),20
Т.8190 Инженерные сети (до ЦПС)-Ц-С037-АС16 (Устройство свайного основания),20
Монтаж и приобретение приборов и средств автоматизации (Куст 72),20
Линейная часть,20
Выкидные трубопроводы (Куст 8),20
ВЗ/поз.336/Монтаж блочного оборудования (КНС блочная БКНС-2),20
Строительные работы. Монтаж стоек КИП (ЭХЗ),20
Изоляция трубопроводов,20
Выкидные трубопроводы (Куст 73),20
Монтаж оборудования АВиАО,20
Монтаж и приобретение приборов и средств автоматизации (Куст 75),20
WBS: ОКС 1376П - Куст-89.2.2.1.17 Сети электрические (ЭМ),20
75.17.2-ТГП-(УГ3;УГ5)-Л Линейная часть,20
"Площадка механизированной добычи, установка измерительная (Блок контроля и управления) (АС)",20
Обвязка резервуаров (поз.13.1),19
Монтаж канализации (НК3),19
Строительные работы опор сетей инженерных (Куст 68),19
Наружные сети водоснабжения (С119.ВХ2-ПСП),19
Устройство проездов и площадок (0-ГП),19
Хозяйственно-бытовой водопровод В1 (ТК5),19
WBS: ОКС 8833 - ПС №11 + ВЛ35кВ.2.4.4 Линия электропередач воздушная 35 кВ (АС),19
Выкидные трубопроводы (Куст 138),19
Выкидные трубопроводы (Куст 5),19
WBS: ОКС 108.17 - Куст-88.3.2.1.9 Электрические сети (ЭС),19
ТХ. Сети технологические (С005),19
АС/поз.336/Архитектурно-строительные решения,19
Металлоконструкции (поз.АС3),19
Лист 17,19
Строительные работы опор (Куст 7),19
WBS: ОКС 1376П - Куст-93.2.2.1.17 Сети электрические (ЭМ),19
Т.22.1 Площадка резервуаров хранения метанола (АС),18
Блок напорной гребенки (АС),18
75.17.2-ТГП-(УГ2)-Л Линейная часть,18
Нефтегазопровод т.вр.к11-т.вр.к135 (лупинг),18
Лист 12,18
Внутриплощадочные сети электрические,18
Монтаж колодцев  (НК1),18
Нефтесборные сети К152-т.вр. К152 ВМЛУ,18
Монтаж металлоконструкций,18
Монтаж и приобретение приборов и средств автоматизации (Куст 71),18
ОС,18
"Монтаж колодцев смотровых К6-К10, К12, К15, К16, К18-К23, К55, К65, К67 (НК3)",18
ЭС,18
Устройство свайного основания (Поз.4),18
Лист 2,18
WBS: ОКС 8833 - ПС 35/10 №11 Строительно-монтажные работы,18
Установка оборудования КИПиА (АТХ),18
WBS: ОКС 866 - Куст-68.9.2.2.3 Строительные работы опор сетей инженерных,18
"WBS: ОКС 1376П - Куст-93.2.2.1.15 Сети технологические дренажные, Сети электрические (АС)",17
ШМР/поз.338/Машинный зал,17
Электромонтажные изделия (ЭС),17
Строительные работы опор сетей инженерных (Куст 34),17
Нефтегазопровод К67- т.вр.К67 (лупинг),17
Кабельная продукция,17
Лист 16,17
WBS: ОКС 2916 - Куст-29.3.2.14.1 Строительные работы. Сети инженерные,17
Выкидные трубопроводы (Куст 74),17
Монтаж трубопровода отопления,17
Строительные работы опор сетей инженерных (Куст 26),17
WBS: ОКС 8833 - Куст-152.3.2.2.1 Инженерные сети (АС),17
"WBS: ОКС 1376П - Куст-89.2.2.1.15 Сети технологические дренажные, Сети электрические (АС)",17
Обвязка резервуаров (поз.13.2),16
75.17.2-ТГП-(ННБ),16
Выкидные трубопроводы (Куст 1БИС),16
"WBS: ОКС 1376П - Куст-89.2.2.2.5 Сети технологические дренажные, Сети электрические (АС)",16
Нефтегазопровод Ду-426Х9мм (Куст 7),16
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 57)",16
Трубопровод дизельного топлива из резервуаров (поз.С039),16
Монтаж колодцев (НК4),16
Строительные работы электрической воздушной линии 10 кВ (Куст 27),16
Сети связи (СС),16
Автоматизация комплексная (АК),16
Т.С137 Инженерные сети (АС),16
АС/поз.302.1-302.6/Архитектурно-строительные решения (Площадка сброса пластовой воды с НГСВ),16
Устройство свайного основания (поз.5.4),16
Лист 24,16
Приборы и оборудование (поз.101),16
Т.32 Блок ремонтно-эксплуатационный (ТХТ),15
Сети контроля и автоматизации (КА),15
WBS: ОКС 108.17 - Куст-112.2.2.1.4 Площадка механизированной добычи (АС),15
"WBS: ОКС 1376П - Куст-93.2.3.1.1 Нефтегазопровод, высоконапорный водовод (АС)",15
Монтаж колодцев  (НК3),15
Монтаж и приобретение приборов и средств автоматизации (Куст 45),15
Нефтегазопровод Ду-325Х8мм (Куст 7),15
Монтаж и приобретение приборов и средств автоматизации (Куст 28),15
Выкидные трубопроводы (Куст 69),15
Лист 33,15
Монтаж и приобретение приборов и средств автоматизации (Куст 27),15
Монтаж изоляции воздуховодов,15
Монтаж трубопровода (поз.201),15
Строительные работы электрической воздушной линии 10 кВ (Куст 36),15
Т.42 Подстанция ПС-35кВ (ЭП),15
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 138)",15
Монтаж и приобретение приборов и средств автоматизации (Куст 74),15
Монтаж Блок-Модулей,15
Внутриплощадочные сети электрические (Куст 47),15
Устройство свайных оснований,15
Строительные работы электрической воздушной линии 10 кВ (Куст 57),15
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 72)",15
Т.6 Установка подготовки газа (ТХ),15
Монтаж кабельной продукции (ЭС),15
Устройство свайного основания (поз.5.3),15
Выкидные трубопроводы,15
WBS: ОКС 11-1602.2 - ПС №10 + ВЛ35кВ.2.9.10 Подстанция трансформаторная комплектная (ЭП),15
Монтаж и приобретение приборов и средств автоматизации (Куст 73),14
Монтаж и приобретение приборов и средств автоматизации (Куст 8),14
КС-34-АС (Архитектурно-строительные решения),14
Ростверки и фундаментные балки (поз.60),14
Монтаж греющего кабеля (ЭСО),14
Устройство свайного основания (поз.26.2),14
СС/поз. 6.1/Сети связи химико-аналитической лаборатории,14
Строительные работы. Сети инженерные (Куст 103),14
Строительные работы электрической воздушной линии 10 кВ (Куст 68),14
Нефтегазопровод т.вр. К1 - т.вр. УЗ№3 (лупинг),14
"Строительные работы основания подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 7)",14
Нефтегазопровод т.вр. К43 - УЗА КУ К4  (лупинг) ,14
Лист 10,14
Нефтегазопровод. Трубопровод диаметром 159х8мм (Куст 103),14
75.17.2-ТГП-(УГ3)-Л Линейная часть,14
Р00 - Азот,14
Т.22.2 Блок-бокс насосов матанола (ТХ),14
Подготовительные работы,14
WBS: ОКС 8833 - Куст-141.3.2.2.1 Инженерные сети (АС),14
Т.7 Блок подготовки топливного газа (ТХ),14
Монтаж ограждения (ВХ1.Огр),14
WBS: ОКС 108.17 - Куст-88.3.2.1.5 Инженерные сети (АС),14
Т.31 Операторная (ПС),14
ВЗ/поз.345/ЗРУ 35кВ (Подстанция 35/10 кВ),14
WBS: ОКС 108.17 - Куст-88.3.2.2.1 Инженерные сети (АС),14
"Площадка механизированной добычи, установка измерительная (АС)",14
WBS: ОКС 108.17 - Куст-88.3.2.2.9 Технологические сети (ТХ),14
Нефтегазопровод Ду-325Х8 (Куст 45),14
Сети связи (С033),14
Внутриплощадочные сети электрические (ЭС),14
Т.22.1-АС (Архитектурно-строительные решения) ,14
"Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 57)",14
"Площадочные нефтегазосборные сети, водовод системы поддержания пластового давления (ППД) (ТК)",13
"Тепловые сети Т1, Т2 (ТК2)",13
Приобретение и монтаж охранно-пожарной сигнализации (Куст 28),13
Монтаж кабельной продукции (С119.ЭСО),13
Мачта прожекторная (АС),13
Водомерный узел,13
Т.С037 Инженерные сети (ЭС),13
Монтаж трубопровода К3К2,13
WBS: Фаза 2.2 Юг 4 ур.4.1.1.2.23 Эстакада технологическая 3 - 14 этапы с переходными площадками,13
Лист 4,13
Строительные работы опор трубопровода (Куст 37),13
АС/поз.303/Архитектурно-строительные решения (Площадка газосепараторов),13
Монтаж трубопроводов пожаротушения (поз.58.1),13
Нефтегазопровод т.вр.к135-т.вр.к 1 (лупинг),13
"Т.20.1-20.3 Сепаратор факельный ВД, расширительная камера НД (АС)",13
ЛТ. Сети газопровода. Узел подключения (С202),13
WBS: ОКС 108.17 - Куст-112.2.2.2.8 Система электроснабжения (ЭС),13
Т.22.1.2 Площадка резервуаров хранения метанола (ТХ),13
Монтаж и приобретение приборов и средств автоматизации (Куст 7),13
Строительные работы основания емкости дренажной (V=8 м3) (Куст 37),13
Строительные работы. Сети инженерные (Куст 102),13
Строительные работы. Сети инженерные (Куст 76),13
Монтаж металлоконструкций фундамента (поз.48),13
Приобретение и монтаж охранно-пожарной сигнализации (Куст 75),13
Строительные работы. Линейная часть. Нефтегазопровод. Высоконапорный водовод (Куст 76),13
Устройство свайного основания (поз.38.1),13
Технология производства (ТХ),12
АС/поз.343/Архитектурно-строительные решения (Блок обогрева персонала с щитовой АСУ),12
Т.С202 Газопровод реверсного газа (АС),12
WBS: ОКС 1376П - Куст-93.2.3.1.2.3 Нефтегазопровод Ду 426х8 (ЛТ) от куста №93 до т.7,12
Т.25 Площадка блока разделителя конденсата (АС),12
"Т.С137 ВМР, ФНД(В28), ФВД(В29)-1",12
WBS: ОКС 8833 - Куст 152 Линия электропередач воздушная 10 кВ (АС),12
Т.31 Операторная (АПТ),12
Приобретение и монтаж охранно-пожарной сигнализации (Куст 7),12
Нефтегазопровод. Трубопровод диаметром 114х8мм (Куст 76),12
Монтаж трубопроводов пожаротушения (поз.58.2),12
Обвязка водонагревателей и теплоаккумулятора,12
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 69)",12
Нефтегазопровод. Трубопровод диаметром 219х8мм (Куст 103),12
Нефтегазопровод. Трубопровод диаметром 219х8мм (Куст 76),12
Устройство свайного основания (поз.5.1),12
Выкидные трубопроводы (Куст 71),12
Ограждение в районе ЦПС,12
"Тепловые сети Т1, Т2 (ТК3)",12
Нефтесодержащие сточные воды Н5Н (ТК4),12
Приобретение и монтаж системы электрообогрева трубопроводов (Куст 70),12
WBS: Строительные работы опор трубопровода,12
Электрические сети (ЭС),12
Т.4.5 Блок технологический АВО газа и сепараторов (АС),12
Монтаж трубопроводов пожаротушения (поз.58.3),12
Строительные работы. Сети инженерные (Куст 58),12
Монтаж приборов,12
Участок крановый узел УГ3 - крановый узел УГ5,12
"Строительные работы основания подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 37)",12
"Строительные работы основания подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 1БИС)",12
"Строительные работы основания подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 138)",12
WBS: Высоконапорный водовод  ЦПС - КУ№2: 325х16,12
Строительные работы опор трубопровода (Куст 75),12
Сети технологические (Куст 103),12
WBS: ОКС 1376П - Куст-89.2.2.1.2 Установка измерительная (Блок технологический) (АС),12
Монтаж и приобретение приборов и средств автоматизации (Куст 5),12
Система защиты кабельных проводок (ЭС),12
Монтажные работы (поз.50),12
Монтаж оборудования (поз.50),12
Строительные работы основания  блока технологического (Куст 70),12
WBS: ОКС 108.17 - Куст-88.3.2.1.2 Блок технологический (АС),12
Монтаж канализации производственно-дождевой К3К2 (НК1),12
Монтаж технологического оборудования узла пуска-приема очистного устройства (водовод),12
Монтаж системы кабельных лотков,12
Монтаж здания,12
Монтаж трубопровода (ВХ2.С020),12
Нефтегазопровод т.вр.к.15 - т.вр.к.14 (лупинг),12
Сети технологические,12
Хозяйственно-бытовая канализация К1Н (ТК5),12
Устройство свайного основания (поз.65.1),12
75.17.2-ТГП-(УГ5)-АС Общестроительная часть,12
"WBS: ОКС 1376П - Куст-93.2.2.2.5 Сети технологические дренажные, Сети электрические (АС)",12
Нефтегазопровод т.вр.К16 - т.вр.К152 ,12
Нефтегазопровод Ду-219Х8 (Куст 72),11
Земляные работы (поз.201),11
Монтаж канализации производственной К3 (НК4),11
Речная вода В7 (ТК3),11
Монтаж системы вентиляции (поз.11),11
АС/поз.346/Архитектурно-строительные решения (Блок 2КТП),11
Монтаж оборудования ЭМиЭО,11
Строительные работы. Электрические воздушные линии 10кВ (Куст 32),11
Очищенные стоки К0Н (ТК4),11
Нефтегазопровод (ЛТ) 219х8,11
Приобретение и монтаж охранно-пожарной сигнализации (Куст 70),11
"Емкость дренажная, V=8м3 (АС)",11
Монтаж кабельной продукции,11
Устройство свайного основания (поз.АС2),11
АС,11
Нефтегазопровод Ду-530Х9мм (Куст 7),11
ШМР/поз.338/Энергозал,11
WBS: ОКС 1376П - Куст-109.2.2.2.6 Сети электрические (ЭМ),11
Геотехнический мониторинг,11
Система охранная телевизионная,11
Монтаж канализации (НК4),11
ГФ00.1 - газ на факел высокого давления (ЭО),11
Т.31 Операторная (ОС),11
"WBS: ОКС 853 - Куст-25.9.2.1.5 Монтаж электрооборудования, молниезащиты и заземления",11
поз.222/Внутриблочный монтаж,11
ГД00.2 - Газ к разделителю,11
Выкидные трубопроводы (Куст 7),11
Нефтегазопровод К76 - т.вр. К76 (лупинг),11
СС,11
В2 (водопровод противопожарный),11
169.10.00-КС-ВЛ 35 кВ-АС (Архитектурно-строительные решения),11
Т.32 Блок ремонтно-эксплуатационный (ЭОМ),11
Устройство свайного основания (ВХ2.Поз.6),11
Монтаж ограждения (ВХ3.Огр),11
Устройство свайного основания (поз.45),11
ЭО,11
Устройство свайного основания (ВХ3.Поз.6),11
Нефтегазопровод куст №316 - т.вр. куст №316 (ЛТ),11
Т.С202 Газопровод реверсного газа (ЛТ),11
Электрическая эстакада и кабельная продукция,11
WBS: ОКС 1376П - Куст-109.2.2.1.18 Сети электрические (ЭМ),11
Монтаж отпления (поз.11),11
Монтаж щитов и шкафов управления (поз.50),11
"Подтоварная вода В, В4Н (ТК2)",11
Противопожарный водопровод (В2),11
Устройство свайного основания (поз.3),11
Поз. 200.1/АС2 /Архитектурно-строительные решения (ЛОТ № 1),11
Система электрообогрева (СЭО),11
ВЗ/поз.338/Машинный зал,11
"WBS: ОКС 1376П - Куст-94.2.2.2.5 Сети технологические дренажные, Сети электрические (АС)",11
Нефтегазопровод Ду-159Х8 (Куст 37),11
Высоконапорный водовод Ду-114х8 (Куст 1БИС),11
Монтаж оборудования систем кондиционирования,11
"Электроаппараты, устанавливаемые по месту",11
Строительные работы основания (Куст 7),11
"ТХ/поз.336/Монтаж трубопроводов, фасонных изделий, ЗРА (КНС блочная БКНС-2)",10
Выкидные трубопроводы (Куст 35),10
Нефтегазопровод Ду-273Х8 (Куст 75),10
Строительные работы основания (поз.1) (Куст 71),10
Нефтегазопровод Ду-219Х8 (Куст 7),10
Водоснабжение (поз.47),10
Приборы и оборудование (поз.15),10
АС/поз.345/Архитектурно-строительные решения (Подстанция 35/10 кВ),10
АС/поз.347/Архитектурно-строительные решения (Блок НКУ),10
Строительные работы опор трубопровода (Куст 7),10
Т.С037 Инженерные сети (АС1.4.5),10
Т.С037 Инженерные сети (АС1.4.4),10
Т.С037 Инженерные сети (АС1.3),10
Нефтегазопровод Ду-159Х8 (Куст 1БИС),10
Хозбытовая канализация К1Н (К4),10
Нефтегазопровод Ду-219Х8 (Куст 27),10
"ТК/Монтаж трубопроводов, ЗРА, оцинковка (Сети дренажа)",10
Нефтегазопровод Ду-219Х8 (Куст 5),10
Устройство проездов и площадок (С119.ВХ2-ПСП),10
ВЗ/поз.345/ЗРУ 10кВ (Подстанция 35/10 кВ),10
"Т.5.1,5.3,5.4 Блок компрессорного агрегата низкого давления (ТХ)",10
Нефтегазопровод (АС),10
АС.2/С037Архитектурно-строительные решения,10
"Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 5)",10
Монтаж оборудования КИПиА,10
Строительные работы основания  блока технологического (Куст 72),10
ТХ.ОЛ/поз.4.13/Монтаж стояка,10
"Т.4.6 Блок ЩСУ, ЧРП и автоматики ВХ (АС)",10
Прожекторная мачта (АС),10
"WBS: ОКС 1376П - Куст-94.2.2.1.16 Сети технологические дренажные, Сети электрические (АС)",10
Строительные работы основания блока контроля и управления (Куст 138),10
Устройство свайного основания (поз.33),10
Устройство свайного основания (поз.24),10
КС-43-АС (Архитектурно-строительные решения),10
Монтаж и приобретение приборов и средств автоматизации (Куст 69),10
КС-44-АС (Архитектурно-строительные решения),10
Сети дренажа (Куст 1БИС),10
WBS: ОКС 108.17 - Куст-88.3.2.1.16 Технология производства (ТХ),10
КС-ВЛ 35 кВ-АС (Архитектурно-строительные решения),10
Тит. С137 Инженерные сети (ЛТ),10
Строительные работы. Линейная часть. Нефтегазопровод. Высоконапорный водовод (Куст 102),10
"WBS: ОКС 1376П - Куст-94.2.2.1.3 Емкость дренажная, V=8м3 (АС)",10
Трансформатор силовой ТДНС-16000/35 (2 шт.),10
Колодцы (К1). Архитектурно-строительные решения (ВХ3.С020),10
Строительные работы электрической воздушной линии 10 кВ (Куст 72),10
ЭР,10
Строительные работы электрической воздушной линии 10 кВ (Куст 45),10
Трубопровод иловой канализации сухотрубный К5с (ВХ1.С020),10
Строительные работы электрической воздушной линии 10 кВ (Куст 35),10
Устройство свайного основания (поз.46),10
"WBS: ОКС 866 - Куст-36.9.2.9.24 Монтаж электрооборудования, молниезащиты и заземления",10
Линии электропередач воздушные 10 кВ (АС),10
"Строительные работы основания подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 73)",10
Устройство свайного основания (поз.5.2),10
Лист 55,10
Устройство свайного основания (поз.5.5),10
Монтаж узла ПК1+78 (поз.201),10
Лист 36,10
WBS: ОКС 0933 - Куст №136.  Инженерные сети (АС),10
Нефтегазопровод К16- т.вр.К15 (лупинг),10
АС/поз.336/Архитектурно-строительные решения (КНС блочная БКНС-2),10
Т.28 Площадка ресиверов (АС),10
Строительные работы основания блока распределения воды,10
Строительные работы основания емкости дренажной (V=8 м3) (Куст 28),10
Высоконапорные водоводы,10
"Монтаж м/к опор, кронштейнов (С142)",10
Высоконапорный водовод Ду-168х10,10
Строительные работы. Электрические воздушные линии 10кВ (Куст 54),10
Т.31 Монтаж узлов прохода через ограждающие конструкции,10
Термостабилизация грунтов (поз.65.12),10
Т.31 Операторная (ОВ) (Прочее),10
"WBS: ОКС 1376П - Куст-80.2.3.1.10 Высоконапорный водовод (168х10), К80 - т.вр.К80, узел 1 по заказу 29/16 (Т37)",10
WBS: ОКС 8833 - ВЛ-10 кВ на куст №312 Строительно-монтажные работы,10
Устройство свайного основания (поз.19.1-19.2),10
"Район куста скважин №25. Электрическая воздушная линия 10кВ L=4,560",10
Приобретение и монтаж охранно-пожарной сигнализации (Куст 71),10
Приобретение и монтаж охранно-пожарной сигнализации (Куст 72),10
ОКС 866 - Куст-37.9.2.3.6 Выкидные трубопроводы,10
WBS: ОКС 8833 - Куст-141.3.2.2.9 Технологические сети (ТХ),9
WBS: ОКС 866 - Куст-36.9.2.9.10 Строительные работы основания емкости дренажной (V=8 м3),9
Наружные сети водопровода (В7) (ВХ2.С019),9
Монтаж стоек и опор под трубопроводы,9
Приобретение и монтаж охранно-пожарной сигнализации (Куст 8),9
Наружные сети водоснабжения (С119.ВХ3-ПСП),9
WBS: ОКС 8833 - Куст 201 Линия электропередач воздушная 10 кВ (АС),9
"WBS: ОКС 866 - Куст-36.9.2.3.9 Монтаж электрооборудования, молниезащиты и заземления",9
ТХ.ТТ/поз.2.23/Автоматизация,9
Монтаж узла задвижек №1 (нефтегазопровод) (Куст 7),9
Теплоизоляция,9
Термостабилизация грунтов (поз.65.21),9
"WBS: ОКС 866 - Куст-57.9.2.1.5 Монтаж электрооборудования, молниезащиты и заземления",9
WBS: Фаза 2.2 Юг 4 ур.4.1.3.2 Монтаж. Линейный трубопровод К301-КУ7 (т.вр.К316),9
WBS: ОКС 8833 - ПС 35/10 №11,9
ТХ.ОЛ/поз.4.1.7/Монтаж стояка,9
Нефтегазопровод. Трубопровод диаметром 114х8мм (Куст 29),9
Пожаротушение (В2). Пожарный гидрант (ВХ2.С019),9
Нефтегазопровод Куст №19 – т.вр. Куст №55,9
Т.31 Операторная (СКУД),9
Строительные работы основания емкости дренажной (V=8 м3) (Куст 71),9
Т.31 Операторная,9
Т.31 Монтаж систем водоснабжения В1 и Т3,9
Пуско-наладочные работы,9
ОКС 866 - Куст-37.9.2.4.3 Строительные работы опор сетей инженерных,9
Монтаж канализации (НК1),9
"Строительство высоконапорного водовода Ду-273Х14 (Куст 75), участок: узел 18 - КУ3",9
Землянные работа,9
Земляное полотно (АД),9
Нефтегазопровод К-30 - т.вр. К-30 (ЛТ),9
Нефтегазопровод К15- т.вр.К15 (лупинг),9
КС-ВЛ 35 кВ-ЭСЛ (Электроснабжение),9
Т.С037 Инженерные сети (ЭГ),9
Кабельная линия 10 кВ (С142),9
Монтаж защитных труб для электропроводок,9
Нефтесборный коллектор (Куст 72),9
"Нефтегазопровод т.вр. К13 - т.вр. К67,69 (лупинг)",9
"Строительные работы основания подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 72)",9
"Линейные трубопроводы т.вр.К201-т.вр.К143,144",9
Линейные трубопроводы т.вр.К316-К313,9
Нефтегазопровод т.вр. К45 - т.вр. К43 (лупинг),9
