object,group
"['Ограждение ПСП (Огражд.ПСП)', 'Архитектурно-строительные решения (Огражд.ПСП)', 'Монтаж металлоконструкций ограждения (огражд.)']",27
"['Ограждение ПСП (Огражд.ПСП)', 'Архитектурно-строительные решения (Огражд.ПСП)', 'Устройство свайного основания (огражд.)']",27
"['Обустройство кустовой площадки (Куст 37)', '1 подэтап (Куст 37)', 'Строительные работы опор сетей инженерных (Куст 37)']",26
"['4 ур Компрессорная станция с установкой подготовки газа', 'Строительно-монтажные работы', 'Т.5.1,5.3,5.4 Блок компрессорного агрегата низкого давления (КД)']",26
"['Строительно-монтажные работы', 'Т.4.1,4.3,4.4 Блок компрессорного агрегата низкого давления', 'Т.4.1,4.3,4.4 Блок компрессорного агрегата низкого давления (АС)']",26
"['Сети наружного газопровода (С023)', 'Наружные газопроводы (С023)', 'ГСН. Сети наружного газопровода (от УРГ до ПСП) (С023)']",25
"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', 'Крановый узел УГ2']",25
"['Линейный трубопровод (С202)', 'Генеральный план (С202)', 'ЛТ. Сети газопровода. Линейный трубопровод (С202)']",25
"['ОБП ВЖК.ВЖК.1.2', 'ПС', 'АС.ТТ']",24
"['Обустройство кустовой площадки (Куст 35)', '1 подэтап (Куст 35)', 'Строительные работы опор сетей инженерных (Куст 35)']",23
"['Обустройство кустовой площадки (Куст 71)', '1 подэтап (Куст 71)', 'Строительные работы опор сетей инженерных (Куст 71)']",23
"['Строительно-монтажные работы', 'Т.4.5 Блок технологический АВО газа и сепараторов', 'Т.4.5 Блок технологический АВО газа и сепараторов (ТХ)']",23
"['Строительство нефтесборных сетей (Куст 28)', 'Обустройство кустовой площадки (Куст 45)', 'Строительные работы опор сетей инженерных (Куст 45)']",22
"['Проект: ОКС 866 - Куст-35 ОКС 866 - Куст №35. Уровень 4', 'WBS: ОКС 866 - Куст-35.9.2 Обустройство', 'WBS: ОКС 866 - Куст-35.9.2.7.6 Строительные работы опор сетей инженерных']",22
['Нефтегазопровод т.вр.к12-т.вр.к11 (лупинг)'],21
"['Строительство нефтесборных сетей (Куст 5)', 'Обустройство кустовой площадки (Куст 8)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 8)']",21
"['Строительство ВЛ 10 кВ (Куст 37)', 'Электрическая воздушная линия 10 кВ на куст скважин (Куст 37)', 'Строительные работы электрической воздушной линии 10 кВ (Куст 37)']",21
"['4 ур Компрессорная станция с установкой подготовки газа', 'Строительно-монтажные работы', 'Т.5.1,5.3,5.4 Блок компрессорного агрегата низкого давления (АС)']",21
"['Сети технологические (Водоснабжение С037)', 'Сети водоснабжения (ТК-5)', 'Сети противопожарного водопровода В2, В2С (ТК5)']",21
"['Т.48 Ограждение площадки КС с УПГ', 'КС-48-АС (Архитектурно-строительные решения)']",21
"['1 этап строительства', 'Поз.336 КНС блочная БКНС-2', 'ВЗ/поз.336/Внутриблочная досборка (КНС блочная БКНС-2)']",21
"['С037/Опоры под сети инженерные (1 этап)', 'АС/С037/Архитектурно строительные-решения (1-2 этапы)', 'Лист 11']",20
"['ОБП ВЖК.ВЖК.1.1', 'АС.ТТ', 'Монтаж запорной арматуры']",20
"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', 'Крановый узел УГ3']",20
"['Сети технологические (С037-ТК)', 'Сети технологические (ТК)', 'Технологические трубопроводы (ТК)']",20
"['ОБП ВЖК.ВЖК.1.2', 'АС.ТТ', 'Монтаж трубопровода']",20
"['ОБП ВЖК.ВЖК.1.2', 'АС.ТТ', 'Монтаж оборудования АВиАО']",20
"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.17 Сети электрические (ЭМ)']",20
"['ОБП ВЖК.ВЖК.1.2', 'АС.ТТ', 'Монтаж кабеля ЭМиЭО']",20
"['Электрохимзащита трубопроводов (АС)', 'Архитектурно-строительные решения (АС)', 'Строительные работы. Монтаж стоек КИП (ЭХЗ)']",20
"['1 этап строительства', 'Поз.336 КНС блочная БКНС-2', 'ВЗ/поз.336/Монтаж блочного оборудования (КНС блочная БКНС-2)']",20
"['Строительно-монтажные работы', 'Участок КС с УПГ - крановый узел УГ-2', '75.17.2-ТГП-(КС;УГ2)-Л Линейная часть']",20
"['С037/Опоры под сети инженерные', 'АС/С037/Архитектурно строительные-решения', 'Лист 22']",20
"['Обустройство кустовой площадки (Куст 73)', '1 подэтап (Куст 73)', 'Строительные работы опор сетей инженерных (Куст 73)']",20
"['Сети технологические (С005)', 'Технология производства (С005)', 'ТХ. Сети технологические (С005)']",19
"['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.1.17 Сети электрические (ЭМ)']",19
"['Строительство нефтесборных сетей (Куст 28)', 'Обустройство кустовой площадки (Куст 45)', 'Выкидные трубопроводы (Куст 45)']",19
"['Резервуар противопожарного запаса воды, V=5000м3 (поз.13.1)', 'Пожаротушение (поз.13.1)', 'Обвязка резервуаров (поз.13.1)']",19
['Нефтегазопровод т.вр.к11-т.вр.к135 (лупинг)'],18
"['Автоматизация технологических процессов (АТХ)', 'Автоматизация комплексная (АТХ)', 'Установка оборудования КИПиА (АТХ)']",18
"['Обустройство куста скважин (Куст 29)', 'Подэтап 1 (Куст 29)', 'Строительные работы. Сети инженерные (Куст 29)']",18
['Нефтесборные сети К152-т.вр. К152 ВМЛУ'],18
"['ВЛ-35 кВ на ПС 35/10 №11 от ПС 35/10 №1 (двухцепная)', 'WBS: ОКС 8833 - ПС №11 + ВЛ35кВ.2 Строительно-монтажные работы', 'WBS: ОКС 8833 - ПС №11 + ВЛ35кВ.2.4.4 Линия электропередач воздушная 35 кВ (АС)']",18
"['4 ур Компрессорная станция с установкой подготовки газа', 'Строительно-монтажные работы', 'Т.4.1,4.3,4.4 Блок компрессорного агрегата низкого давления (КД)']",18
"['Проект: ОКС 108.17 - Куст-88 ОКС 108.17 - Куст №88. Уровень 4', 'WBS: ОКС 108.17 - Куст-88.3.2 Обустройство куста', 'WBS: ОКС 108.17 - Куст-88.3.2.1.9 Электрические сети (ЭС)']",18
"['Установка предварительного сброса воды 4 ур', 'Опоры под сети инженерные ', 'Лист 2']",18
"['С037/Опоры под сети инженерные', 'АС/С037/Архитектурно строительные-решения', 'Лист 23']",18
"['Обустройство куста скважин (Куст 15)', 'Подэтап 1 (Куст 15)', 'Строительные работы. Сети инженерные (Куст 15)']",18
"['Строительство газопровода КС с УПГ-ЗМЛУ и обустройство объектов закачки ЗМЛУ (ф426*16 47 км)', 'Строительно-монтажные работы', '75.17.2-ТГП-(КС;УГ2)-Л Линейная часть']",18
"['Строительство ВЛ 10 кВ (Куст 26)', 'Электрическая воздушная линия 10 кВ на куст скважин (Куст 26)', 'Строительные работы электрической воздушной линии 10 кВ (Куст 26)']",17
"['Строительно-монтажные работы', 'Участок крановый узел УГ2 - переход реки Мессояха', '75.17.2-ТГП-(УГ2;ННБ)-Л Линейная часть']",17
"['ОБП ВЖК.ВЖК.1.2', 'ПС', 'ОС']",17
"['Сети технологические (Водоснабжение С037)', 'Сети водоснабжения (ТК-2)', 'Сети противопожарного водопровода В2, В2С (ТК2)']",17
"['Сети технологические (Водоснабжение С037)', 'Сети водоснабжения (ТК-4)', 'Сети противопожарного водопровода В2, В2С (ТК4)']",17
"['ОКС 108.17 - Куст №113. Уровень 4', 'Обустройство куста', 'Система электроснабжения (ЭС)']",17
['Нефтегазопровод К67- т.вр.К67 (лупинг)'],17
"['ШМР/поз.338/Шеф-монтажные работы', 'ШМР/поз.338/Машинный зал']",17
"['Проект: ОКС 15233П - Куст-152 ОКС 15233П - Куст №152. Уровень 4', 'WBS: ОКС 8833 - Куст-152.3.2 Обустройство куста', 'WBS: ОКС 8833 - Куст-152.3.2.2.1 Инженерные сети (АС)']",17
"['Сети электрические (C027-ЭС)', 'Электроснабжение (C027-ЭС)', 'Электромонтажные изделия (ЭС)']",17
"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.1.15 Сети технологические дренажные, Сети электрические (АС)']",17
"['Обустройство кустовой площадки (Куст 70)', '1 подэтап (Куст 70)', 'Строительные работы опор сетей инженерных (Куст 70)']",17
"['Строительство нефтесборных сетей (Куст 45)', 'Обустройство кустовой площадки (Куст 68)', 'Строительные работы опор сетей инженерных (Куст 68)']",17
"['Обустройство кустовой площадки (Куст 74)', '1 подэтап (Куст 74)', 'Строительные работы опор сетей инженерных (Куст 74)']",17
"['С037/Сети инженерные (1 этап)', 'ТК/С037/Сети водяного пожаротушения', 'Работы не вошедшие в СМГ:']",17
"['4 ур Компрессорная станция с установкой подготовки газа', 'Строительно-монтажные работы', 'Т.4.5 Блок технологический АВО газа и сепараторов (ТХ)']",17
"['С037/Опоры под сети инженерные', 'АС/С037/Архитектурно строительные-решения', 'Лист 3']",17
"['Обустройство кустовой площадки (Куст 1БИС)', '1 подэтап (Куст 1БИС)', 'Строительные работы опор сетей инженерных (Куст 1БИС)']",16
"['Обустройство кустовой площадки (Куст 1БИС)', '2 подэтап (Куст 1БИС)', 'Строительные работы опор сетей инженерных (Куст 1БИС)']",16
"['Строительство нефтесборных сетей (Куст 8)', 'Обустройство кустовой площадки (Куст 28)', 'Строительные работы опор сетей инженерных (Куст 28)']",16
"['Проект: ОКС 2916 - Куст-29 ОКС 2916 - Куст №29. Уровень 4', 'WBS: ОКС 2916 - Куст-29.3.2 Обустройство', 'WBS: ОКС 2916 - Куст-29.3.2.14.1 Строительные работы. Сети инженерные']",16
"['Строительно-монтажные работы', 'Участок крановый узел УГ3-крановый узел УГ5', '75.17.2-ТГП-(УГ3;УГ5)-Л Линейная часть']",16
"['Проходная (поз.101)', 'Сети связи (поз.101)', 'Приборы и оборудование (поз.101)']",16
"['Строительство нефтесборных сетей (Куст 45)', 'Обустройство кустовой площадки (Куст 75)', 'Строительные работы опор сетей инженерных (Куст 75)']",16
"['ОКC 8849 - Куст-19. Уровень 4', 'Обустройство куста', 'Инженерные сети (АС)']",16
"['Строительство нефтесборного коллектора (Куст 7)', 'Коридор коммуникаций нефтесборного коллектора (Куст 7)', 'Нефтегазопровод Ду-426Х9мм (Куст 7)']",16
"['Обустройство кустовой площадки (Куст 28)', '1 подэтап (Куст 28)', 'Строительные работы опор сетей инженерных (Куст 28)']",16
"['Строительство перехода через р. Мессояха', 'ННБ р.Мессояха', '75.17.2-ТГП-(ННБ)']",16
"['УПСВ', 'Опоры под сети инженерные', 'Лист 3']",16
"['Строительно-монтажные работы', 'Т.4.1,4.3,4.4 Блок компрессорного агрегата низкого давления', 'Т.4.1,4.3,4.4 Блок компрессорного агрегата низкого давления (ТХ)']",16
"['Спорткомплекс со столовой и медпунктом (поз.1.2)', 'Общестроительные работы (АС.ТТ)', 'Монтаж КМ']",16
"['Обустройство кустовой площадки (Куст 138)', '1 подэтап (Куст 138)', 'Строительные работы опор сетей инженерных (Куст 138)']",16
"['С037/Опоры под сети инженерные (1 этап)', 'АС/С037/Архитектурно строительные-решения (1-2 этапы)', 'Лист 6']",16
"['Резервуар противопожарного запаса воды, V=5000м3 (поз.13.2)', 'Пожаротушение (поз.13.2)', 'Обвязка резервуаров (поз.13.2)']",16
"['Сети топливопровода (С039-ТХ)', 'Технологические трубопроводы (C039-ТХ)', 'Трубопровод дизельного топлива из резервуаров (поз.С039)']",16
"['Сети технологические (Водоснабжение С037)', 'Сети водоснабжения (ТК-5)', 'Хозяйственно-бытовой водопровод В1 (ТК5)']",16
"['С037/Опоры под сети инженерные (1 этап)', 'АС/С037/Архитектурно строительные-решения (1-2 этапы)', 'Лист 12']",16
"['Проект: ОКС 108.17 - Куст-112 ОКС 108.17 - Куст №112. Уровень 4', 'WBS: ОКС 108.17 - Куст-112.2.2 Обустройство куста', 'WBS: ОКС 108.17 - Куст-112.2.2.1.4 Площадка механизированной добычи (АС)']",15
"['ОКС 1376П - Куст №32. Уровень 4', 'Обустройство куста', 'Сети электрические (ЭМ)']",15
"['ОБП ВЖК.ВЖК.1.1', 'АС.ТТ', 'Монтаж КМ']",15
"['Сети электрические (C027-ЭС)', 'Электроснабжение (C027-ЭС)', 'Монтаж кабельной продукции (ЭС)']",15
"['Строительство нефтесборных сетей (Куст 45)', 'Обустройство кустовой площадки (Куст 75)', 'Монтаж и приобретение приборов и средств автоматизации (Куст 75)']",15
"['Система измерения количества и показателей качества нефти (поз.11)', 'Автоматизация комплексная (поз.11)', 'Монтаж оборудования (поз.11)']",15
"['ОКС 2916 - Куст №58. Уровень 4', 'Обустройство', 'Внутриплощадочные сети электрические']",15
"['Обустройство кустовой площадки (Куст 69)', '1 подэтап (Куст 69)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 69)']",15
"['МЯ.Полигон ПиТБО.7', 'ТХ', 'Монтаж Блок-Модулей']",15
"['Напорный нефтепровод ПСП-ГНПС №1 трубопроводной системы ""Заполярье-НПС ""Пур-Пе"" (поз.201)', 'Сети канализации (С020)', 'Монтаж колодцев  (НК1)']",15
"['Строительство нефтесборного коллектора (Куст 7)', 'Коридор коммуникаций нефтесборного коллектора (Куст 7)', 'Нефтегазопровод Ду-325Х8мм (Куст 7)']",15
"['ОКС 2916 - Куст №67. Уровень 4', 'Обустройство куста', 'Сети инженерные (АС)']",15
"['Напорный нефтепровод ПСП-ГНПС №1 трубопроводной системы ""Заполярье-НПС ""Пур-Пе"" (поз.201)', 'Линейная часть трубопровода (поз.201)', 'Монтаж трубопровода (поз.201)']",15
"['Сети технологические (Водоснабжение С037)', 'Сети водоснабжения (ТК-3)', 'Сети противопожарного водопровода В2, В2С (ТК3)']",15
"['Подстанция 35/10 кВ (поз.38)', 'Электроснабжение (поз.38)', 'Монтаж оборудования подстанции (поз.38)']",15
"['4 ур Компрессорная станция с установкой подготовки газа', 'Строительно-монтажные работы', 'Т.6 Установка подготовки газа (ТХ)']",15
"['С037/Опоры под сети инженерные', 'АС/С037/Архитектурно строительные-решения', 'Лист 13']",15
"['Обустройство кустовой площадки (Куст 138)', '1 подэтап (Куст 138)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 138)']",15
"['ОКС 866 - Куст №26. Уровень 4', 'Обустройство', 'Монтаж электрооборудования, молниезащиты и заземления']",15
"['Обустройство кустовой площадки (Куст 72)', '1 подэтап (Куст 72)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 72)']",15
"['Строительство ВЛ 10 кВ (Куст 57)', 'Электрическая воздушная линия 10 кВ на куст скважин (Куст 57)', 'Строительные работы электрической воздушной линии 10 кВ (Куст 57)']",15
"['ОБП ВЖК.ВЖК.1.2', 'АС.ТТ', 'Монтаж запорной арматуры']",15
"['Строительство ВЛ 10 кВ (Куст 36)', 'Электрическая воздушная линия 10 кВ на куст скважин (Куст 36)', 'Строительные работы электрической воздушной линии 10 кВ (Куст 36)']",15
"['ОКС 866 - Куст №41. Уровень 4', 'Обустройство', 'Строительные работы опор сетей инженерных']",15
"['Эстакады сетей инженерных (СО27, С037)', 'Архитектурно-строительные решения (СО27, С037)', 'Металлоконструкции (поз.АС1)']",15
"['Строительно-монтажные работы', 'Т.42 Подстанция ПС-35кВ', 'Т.42 Подстанция ПС-35кВ (ЭП)']",15
"['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-93.2.2.1.15 Сети технологические дренажные, Сети электрические (АС)']",14
"['Линейный участок напорного нефтепровода. Участок ПК00+00-ПК541+00', 'Подготовительные работы']",14
"['Проект: ОКС 14133П - Куст-141 ОКС 14133П - Куст №141. Уровень 4', 'WBS: ОКС 8833 - Куст-141.3.2 Обустройство куста', 'WBS: ОКС 8833 - Куст-141.3.2.2.1 Инженерные сети (АС)']",14
"['ОБП ВЖК.ВЖК.1.2', 'АС.ТТ', 'Изоляция трубопроводов']",14
"['Строительно-монтажные работы', 'Т.31 Операторная', 'Т.31 Операторная (ПС)']",14
"['Ремонтный блок с МТС (поз.60)', 'Конструкции железобетонные (поз.60)', 'Ростверки и фундаментные балки (поз.60)']",14
"['Строительство нефтесборных сетей (Куст 28)', 'Обустройство кустовой площадки (Куст 45)', 'Монтаж и приобретение приборов и средств автоматизации (Куст 45)']",14
"['1 этап строительства', 'С129/Воздушная линия электропередач (1 этап)', 'АС/С129/Архитектурно строительные-решения']",14
"['Проект: ОКС 108.17 - Куст-112 ОКС 108.17 - Куст №112. Уровень 4', 'Проект: ОКС 108.17 - Куст-88 ОКС 108.17 - Куст №88. Уровень 4', 'WBS: ОКС 108.17 - Куст-88.3.2.1 Подэтап 1']",14
"['Т.34 Пункт контрольно-пропускной', 'КС-34-АС (Архитектурно-строительные решения)']",14
"['С037/Опоры под сети инженерные (1 этап)', 'АС/С037/Архитектурно строительные-решения (1-2 этапы)', 'Лист 13']",14
['Нефтегазопровод т.вр. К1 - т.вр. УЗ№3 (лупинг)'],14
"['Напорный нефтепровод ПСП-ГНПС №1 трубопроводной системы ""Заполярье-НПС ""Пур-Пе"" (поз.201)', 'Сети канализации (С020)', 'Монтаж колодцев (НК2)']",14
"['ОБП ВЖК.ВЖК.1.2', 'АС.ТТ', 'Устройство кровли']",14
['Нефтегазопровод т.вр. К43 - УЗА КУ К4  (лупинг) '],14
"['ОБП ВЖК.ВЖК.1.2', 'АС.ТТ', 'Монтаж оборудования системы']",14
"['С037/Сети инженерные, монтаж трубопроводов', 'Работы не вошедшие в СМГ ', 'Лист 9']",14
"['Т.22.1 Площадка резервуаров хранения метанола ', 'Т.22.1-АС (Архитектурно-строительные решения) ']",14
"['Проект: ОКС 108.17 - Куст-88 ОКС 108.17 - Куст №88. Уровень 4', 'WBS: ОКС 108.17 - Куст-88.3.2 Обустройство куста', 'WBS: ОКС 108.17 - Куст-88.3.2.2.9 Технологические сети (ТХ)']",14
"['Обустройство кустовой площадки (Куст 45)', '1 подэтап (Куст 45)', 'Строительные работы опор сетей инженерных (Куст 45)']",14
"['Сети электрические (C027-ЭС)', 'Сети связи (С033-СС)', 'Сети связи (С033)']",14
"['Строительство нефтесборных сетей (Куст 45)', 'Коридор коммуникаций (Куст 45)', 'Нефтегазопровод Ду-325Х8 (Куст 45)']",14
"['Строительство ВЛ 10 кВ (Куст 68)', 'Электрическая воздушная линия 10 кВ на куст скважин (Куст 68)', 'Строительные работы электрической воздушной линии 10 кВ (Куст 68)']",14
"['Проезды и площадки (0-ГП)', 'Генеральный план (0-ГП)', 'Устройство проездов и площадок (0-ГП)']",14
"['Обустройство кустовой площадки (Куст 72)', '1 подэтап (Куст 72)', 'Строительные работы опор сетей инженерных (Куст 72)']",13
"['Проект: ОКС 108.17 - Куст-112 ОКС 108.17 - Куст №112. Уровень 4', 'WBS: ОКС 108.17 - Куст-112.2.2 Обустройство куста', 'WBS: ОКС 108.17 - Куст-112.2.2.2.8 Система электроснабжения (ЭС)']",13
"['Напорный нефтепровод ПСП-ГНПС №1 трубопроводной системы ""Заполярье-НПС ""Пур-Пе"" (поз.201)', 'Сети канализации (С020)', 'Монтаж канализации (НК3)']",13
"['Обустройство кустовой площадки (Куст 5)', '1 подэтап (Куст 5)', 'Строительные работы опор сетей инженерных (Куст 5)']",13
"['Полигон ПиТБО.8', 'АС', 'Устройство площадки']",13
"['Эстакады сетей инженерных (СО27, С037)', 'Электрообогрев (ЭСО)', 'Монтаж греющего кабеля (ЭСО)']",13
"['Эстакады сетей инженерных (СО27, С037)', 'Архитектурно-строительные решения (СО27, С037)', 'Металлоконструкции (поз.АС2)']",13
"['Сети технологические (Водоснабжение С037)', 'Сети водоснабжения (ТК-3)', 'Водопровод хозяйственно-питьевой В1 (ТК3)']",13
"['ОБП ВЖК.ВЖК.1.2', 'АС.ТТ', 'Устройство проемов']",13
"['1 этап строительства', 'ВЗ/поз.345/Монтаж блочного электрооборудования (Подстанция 35/10 кВ)', 'ВЗ/поз.345/ЗРУ 35кВ (Подстанция 35/10 кВ)']",13
['Нефтегазопровод т.вр.к135-т.вр.к 1 (лупинг)'],13
"['Обустройство кустовой площадки (Куст 7)', '1 подэтап (Куст 7)', 'Строительные работы основания подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 7)']",13
"['АС.ТТ/поз.1.6/КМ', 'Монтаж КМ']",13
"['С037/Сети инженерные, монтаж трубопроводов', 'ТК/С037/Монтаж сетей технологических с давлением до 10 МПа', 'Работы не вошедшие в СМГ:']",13
"['Обустройство кустовой площадки (Куст 37)', '1 подэтап (Куст 37)', 'Строительные работы основания емкости дренажной (V=8 м3) (Куст 37)']",13
"['Резервуар вертикальный стальной, V=400 м3 (поз.58.1)', 'Пожаротушение (поз.58.1)', 'Монтаж трубопроводов пожаротушения (поз.58.1)']",13
"['Линейный трубопровод (С202)', 'Линейная часть трубопровода (С202)', 'ЛТ. Сети газопровода. Узел подключения (С202)']",13
"['Обустройство кустовой площадки (Куст 1БИС)', '1 подэтап (Куст 1БИС)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 1БИС)']",13
"['Строительство нефтесборного коллектора (Куст 7)', 'Коридор коммуникаций нефтесборного коллектора (Куст 7)', 'Строительные работы опор (Куст 7)']",13
"['Строительство ВЛ 10 кВ (Куст 27)', 'Электрическая воздушная линия 10 кВ на куст скважин (Куст 27)', 'Строительные работы электрической воздушной линии 10 кВ (Куст 27)']",13
"['Строительно-монтажные работы', 'Т.31 Операторная', 'Т.31 Операторная (ЭОМ)']",13
"['Строительно-монтажные работы', 'Тит. С137 Инженерные сети', 'Тит. С137 Инженерные сети (ТК)']",13
"['Сети электрические (C027-ЭС)', 'Электроснабжение (C027-ЭС)', 'Система кабельных конструкций (ЭС)']",12
"['Строительство нефтесборных сетей (Куст 57)', 'Обустройство кустовой площадки (Куст 75)', 'Строительные работы опор сетей инженерных (Куст 75)']",12
"['Резервуар вертикальный стальной, V=400 м3 (поз.58.3)', 'Пожаротушение (поз.58.3)', 'Монтаж трубопроводов пожаротушения (поз.58.3)']",12
"['С037/Опоры под сети инженерные', 'АС/С037/Архитектурно строительные-решения', 'Лист 25']",12
"['Обустройство кустовой площадки (Куст 75)', '4 подэтап (Куст 75)', 'Приобретение и монтаж электрооборудования, молниезащиты и заземления (Куст 75)']",12
"['ОБП ВЖК.ВЖК.1.2', 'АС.ТТ', 'Обвязка водонагревателей и теплоаккумулятора']",12
"['Напорный нефтепровод ПСП-ГНПС №1 трубопроводной системы ""Заполярье-НПС ""Пур-Пе"" (поз.201)', 'Сети канализации (С020)', 'Монтаж канализации производственно-дождевой К3К2 (НК1)']",12
"['Обустройство кустовой площадки (Куст 69)', '1 подэтап (Куст 69)', 'Приобретение и монтаж электрооборудования подстанции трансформаторной 10/0,4кВ, площадки электрооборудования ЭЦН (Куст 69)']",12
"['Строительство нефтесборных сетей (Куст 75)', 'Коридор коммуникаций (Куст 75)', 'Строительные работы опор трубопровода (Куст 75)']",12
"['Обустройство кустовой площадки (Куст 70)', '1 подэтап (Куст 70)', 'Строительные работы основания  блока технологического (Куст 70)']",12
"['(С-037) Сети Технологические', 'Участок ТК1', 'Технологические трубопроводы (ТК1)']",12
"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', 'Участок крановый узел УГ3 - крановый узел УГ5']",12
"['С037/Опоры под сети инженерные', 'АС/С037/Архитектурно строительные-решения', 'Лист 33']",12
"['ОБП ВЖК.ВЖК.1.1', 'СС', 'Монтаж оборудования']",12
"['Строительно-монтажные работы', 'Т.31 Операторная', 'Т.31 Операторная (АПТ)']",12
"['Сети электрические (C027-ЭС)', 'Электроснабжение (C027-ЭС)', 'Система защиты кабельных проводок (ЭС)']",12
['Нефтегазопровод т.вр.К16 - т.вр.К152 '],12
['Нефтегазопровод т.вр.к.15 - т.вр.к.14 (лупинг)'],12
"['Проект: ОКС 853 - Высоконапорный водовод ЦПС - КУ №2', 'WBS: Высоконапорный водовод  ЦПС - КУ№2: 325х16']",12
"['С037/Сети инженерные, монтаж трубопроводов', 'Работы не вошедшие в СМГ ', 'Лист 8']",12
"['Резервуар вертикальный стальной, V=400 м3 (поз.58.2)', 'Пожаротушение (поз.58.2)', 'Монтаж трубопроводов пожаротушения (поз.58.2)']",12
"['С037/Опоры под сети инженерные', 'АС/С037/Архитектурно строительные-решения', 'Лист 14']",12
"['Проект: ОКС 1376П - Куст-89 ОКС 1376П - Куст №89. Уровень 4', 'WBS: ОКС 1376П - Куст-89.2.2 Обустройство куста', 'WBS: ОКС 1376П - Куст-89.2.2.2.5 Сети технологические дренажные, Сети электрические (АС)']",12
"['1 этап строительства', 'Поз.343 Блок обогрева персонала с щитовой АСУ', 'АС/поз.343/Архитектурно-строительные решения (Блок обогрева персонала с щитовой АСУ)']",12
"['Проект: ОКС 1376П - Куст-93 ОКС 1376П - Куст №93. Уровень 4', 'WBS: ОКС 1376П - Куст-93.2.3 Нефтесборные сети', 'WBS: ОКС 1376П - Куст-93.2.3.1.1 Нефтегазопровод, высоконапорный водовод (АС)']",12
